"Rmax=? [ F is_done=1 ]"
p_bar, v_init, Result
0, 0, 31.330049474172597
0, 1, 34.657671149565104
0, 2, 40.46870662122223
0, 3, 46.994314388123314
0, 4, 52.639335622378326
0, 5, 55.59645868146121
0, 6, 58.33938853611385
0, 7, 63.322929703026944
0, 8, 68.54029909476282
0, 9, 73.22489994122266
0, 10, 75.61136878770347
0.1, 0, 28.52096531746831
0.1, 1, 31.587310673903243
0.1, 2, 36.95465104018308
0.1, 3, 42.96957973971768
0.1, 4, 48.18404262935477
0.1, 5, 50.955460751740105
0.1, 6, 53.53213739906337
0.1, 7, 58.14519106328369
0.1, 8, 62.971783305181795
0.1, 9, 67.31495770009035
0.1, 10, 69.52669901610605
0.2, 0, 26.171089282942326
0.2, 1, 29.012956397223256
0.2, 2, 34.000962671316444
0.2, 3, 39.577269339607106
0.2, 4, 44.420262574170394
0.2, 5, 47.024852823431644
0.2, 6, 49.45082444832258
0.2, 7, 53.74216190731126
0.2, 8, 58.23161397290859
0.2, 9, 62.280011601661016
0.2, 10, 64.34102747138697
0.3, 0, 24.17710068765245
0.3, 1, 26.823821851476968
0.3, 2, 31.48425882588579
0.3, 3, 36.67973203089565
0.3, 4, 41.19947525714437
0.3, 5, 43.65416772607829
0.3, 6, 45.943789337932344
0.3, 7, 49.95348206822672
0.3, 8, 54.149300774007074
0.3, 9, 57.94057251040473
0.3, 10, 59.87022359131646
0.4, 0, 22.46430016493434
0.4, 1, 24.93954646272038
0.4, 2, 29.314738330735103
0.4, 3, 34.17625354194511
0.4, 4, 38.412583659034944
0.4, 5, 40.732299251046925
0.4, 6, 42.89854551713042
0.4, 7, 46.65982272621261
0.4, 8, 50.597757664863025
0.4, 9, 54.1627152572445
0.4, 10, 55.97684999432124
0.5, 0, 20.976886735466007
0.5, 1, 23.299930876272626
0.5, 2, 27.425054289923267
0.5, 3, 31.99096375774537
0.5, 4, 35.977255865305345
0.5, 5, 38.17502004551412
0.5, 6, 40.229600999355924
0.5, 7, 43.77024142116555
0.5, 8, 47.48004972215492
0.5, 9, 50.84419893490854
0.5, 10, 52.55596655124848
0.6, 0, 19.668924722304634
0.6, 1, 21.855502109679463
0.6, 2, 25.76029922033887
0.6, 3, 30.06212684694452
0.6, 4, 33.826941042624775
0.6, 5, 35.91424175316638
0.6, 6, 37.86820384564901
0.6, 7, 41.21161571087628
0.6, 8, 44.71850686881482
0.6, 9, 47.903091269101694
0.6, 10, 49.52355184524241
0.7, 0, 18.48653146122356
0.7, 1, 20.54931781464237
0.7, 2, 24.259384596046342
0.7, 3, 28.32300640295444
0.7, 4, 31.892025196294814
0.7, 5, 33.88016424096015
0.7, 6, 35.746062859692145
0.7, 7, 38.91239425484249
0.7, 8, 42.23859466447803
0.7, 9, 45.26109692279674
0.7, 10, 46.799716864196
0.8, 0, 17.31741154230343
0.8, 1, 19.265926864974055
0.8, 2, 22.803559237917906
0.8, 3, 26.6500236137744
0.8, 4, 30.04968167541695
0.8, 5, 31.954710725313685
0.8, 6, 33.75378674865971
0.8, 7, 36.76207953340335
0.8, 8, 39.92945469613794
0.8, 9, 42.80315852029271
0.8, 10, 44.26826466133858
0.9, 0, 15.852894230013597
0.9, 1, 17.69222436990222
0.9, 2, 21.076476381076773
0.9, 3, 24.72268553019705
0.9, 4, 27.988874821675495
0.9, 5, 29.847045440462516
0.9, 6, 31.63021538663677
0.9, 7, 34.50432653324028
0.9, 8, 37.54014788985214
0.9, 9, 40.27169173036922
0.9, 10, 41.67092511764804
1, 0, 13.250335006214547
1, 1, 14.977242809499362
1, 2, 18.22219782881311
1, 3, 21.681891712939006
1, 4, 24.881169355564776
1, 5, 26.790796277702892
1, 6, 28.693190858564506
1, 7, 31.4778615651673
1, 8, 34.42807961911922
1, 9, 37.010671158764744
1, 10, 38.35138528057967

"Rmin=? [ F is_done=1 ]"
p_bar, v_init, Result
0, 0, 0.0
0, 1, 0.0
0, 2, 0.0
0, 3, 0.0
0, 4, 0.0
0, 5, 0.0
0, 6, 0.0
0, 7, 0.0
0, 8, 0.0
0, 9, 0.0
0, 10, 0.0
0.1, 0, 0.0
0.1, 1, 0.0
0.1, 2, 0.0
0.1, 3, 0.0
0.1, 4, 0.0
0.1, 5, 0.0
0.1, 6, 0.0
0.1, 7, 0.0
0.1, 8, 0.0
0.1, 9, 0.0
0.1, 10, 0.0
0.2, 0, 0.0
0.2, 1, 0.0
0.2, 2, 0.0
0.2, 3, 0.0
0.2, 4, 0.0
0.2, 5, 0.0
0.2, 6, 0.0
0.2, 7, 0.0
0.2, 8, 0.0
0.2, 9, 0.0
0.2, 10, 0.0
0.3, 0, 0.0
0.3, 1, 0.0
0.3, 2, 0.0
0.3, 3, 0.0
0.3, 4, 0.0
0.3, 5, 0.0
0.3, 6, 0.0
0.3, 7, 0.0
0.3, 8, 0.0
0.3, 9, 0.0
0.3, 10, 0.0
0.4, 0, 0.0
0.4, 1, 0.0
0.4, 2, 0.0
0.4, 3, 0.0
0.4, 4, 0.0
0.4, 5, 0.0
0.4, 6, 0.0
0.4, 7, 0.0
0.4, 8, 0.0
0.4, 9, 0.0
0.4, 10, 0.0
0.5, 0, 0.0
0.5, 1, 0.0
0.5, 2, 0.0
0.5, 3, 0.0
0.5, 4, 0.0
0.5, 5, 0.0
0.5, 6, 0.0
0.5, 7, 0.0
0.5, 8, 0.0
0.5, 9, 0.0
0.5, 10, 0.0
0.6, 0, 0.0
0.6, 1, 0.0
0.6, 2, 0.0
0.6, 3, 0.0
0.6, 4, 0.0
0.6, 5, 0.0
0.6, 6, 0.0
0.6, 7, 0.0
0.6, 8, 0.0
0.6, 9, 0.0
0.6, 10, 0.0
0.7, 0, 0.0
0.7, 1, 0.0
0.7, 2, 0.0
0.7, 3, 0.0
0.7, 4, 0.0
0.7, 5, 0.0
0.7, 6, 0.0
0.7, 7, 0.0
0.7, 8, 0.0
0.7, 9, 0.0
0.7, 10, 0.0
0.8, 0, 0.0
0.8, 1, 0.0
0.8, 2, 0.0
0.8, 3, 0.0
0.8, 4, 0.0
0.8, 5, 0.0
0.8, 6, 0.0
0.8, 7, 0.0
0.8, 8, 0.0
0.8, 9, 0.0
0.8, 10, 0.0
0.9, 0, 0.0
0.9, 1, 0.0
0.9, 2, 0.0
0.9, 3, 0.0
0.9, 4, 0.0
0.9, 5, 0.0
0.9, 6, 0.0
0.9, 7, 0.0
0.9, 8, 0.0
0.9, 9, 0.0
0.9, 10, 0.0
1, 0, 0.0
1, 1, 0.0
1, 2, 0.0
1, 3, 0.0
1, 4, 0.0
1, 5, 0.0
1, 6, 0.0
1, 7, 0.0
1, 8, 0.0
1, 9, 0.0
1, 10, 0.0

"R{""steps""}max=? [ F is_done=1 ]"
p_bar, v_init, Result
0, 0, 35.99999999999999
0, 1, 35.99999999999999
0, 2, 35.99999999999999
0, 3, 35.99999999999999
0, 4, 35.99999999999999
0, 5, 36.0
0, 6, 36.0
0, 7, 35.99999999999999
0, 8, 35.99999999999999
0, 9, 35.99999999999999
0, 10, 35.99999999999999
0.1, 0, 34.99173553719001
0.1, 1, 34.99173553719001
0.1, 2, 34.99173553719001
0.1, 3, 34.99173553719001
0.1, 4, 34.99173553719001
0.1, 5, 34.99173553719001
0.1, 6, 34.99173553719001
0.1, 7, 34.99173553719001
0.1, 8, 34.99173553719
0.1, 9, 34.99173553719
0.1, 10, 34.99173553719
0.2, 0, 34.138888888320004
0.2, 1, 34.138888888320004
0.2, 2, 34.138888888320004
0.2, 3, 34.138888888320004
0.2, 4, 34.138888888320004
0.2, 5, 34.13888888832001
0.2, 6, 34.138888888320004
0.2, 7, 34.138888888320004
0.2, 8, 34.138888888320004
0.2, 9, 34.138888888320004
0.2, 10, 34.138888888320004
0.3, 0, 33.40828392932999
0.3, 1, 33.40828392932999
0.3, 2, 33.40828392932999
0.3, 3, 33.40828392932999
0.3, 4, 33.40828392932999
0.3, 5, 33.40828392933
0.3, 6, 33.40828392932999
0.3, 7, 33.40828392932999
0.3, 8, 33.40828392932999
0.3, 9, 33.40828392932999
0.3, 10, 33.40828392932999
0.4, 0, 32.77550678016
0.4, 1, 32.77550678016
0.4, 2, 32.77550678016
0.4, 3, 32.77550678015999
0.4, 4, 32.77550678016
0.4, 5, 32.77550678015999
0.4, 6, 32.77550678016
0.4, 7, 32.77550678016
0.4, 8, 32.77550678016
0.4, 9, 32.77550678015999
0.4, 10, 32.77550678015999
0.5, 0, 32.22216796874999
0.5, 1, 32.22216796874999
0.5, 2, 32.22216796874999
0.5, 3, 32.22216796874999
0.5, 4, 32.22216796874999
0.5, 5, 32.22216796875
0.5, 6, 32.222167968749986
0.5, 7, 32.222167968749986
0.5, 8, 32.222167968749986
0.5, 9, 32.222167968749986
0.5, 10, 32.222167968749986
0.6, 0, 31.733864816639986
0.6, 1, 31.733864816639993
0.6, 2, 31.733864816639986
0.6, 3, 31.733864816639993
0.6, 4, 31.733864816639986
0.6, 5, 31.733864816639993
0.6, 6, 31.733864816639993
0.6, 7, 31.73386481664
0.6, 8, 31.73386481664
0.6, 9, 31.73386481664
0.6, 10, 31.733864816639993
0.7, 0, 31.297685501369997
0.7, 1, 31.297685501369997
0.7, 2, 31.297685501369997
0.7, 3, 31.297685501369997
0.7, 4, 31.297685501369997
0.7, 5, 31.29768550136999
0.7, 6, 31.29768550136999
0.7, 7, 31.29768550136999
0.7, 8, 31.297685501369987
0.7, 9, 31.297685501369987
0.7, 10, 31.297685501369983
0.8, 0, 30.896612454400003
0.8, 1, 30.896612454400003
0.8, 2, 30.896612454400003
0.8, 3, 30.896612454400003
0.8, 4, 30.896612454400007
0.8, 5, 30.89661245440001
0.8, 6, 30.8966124544
0.8, 7, 30.8966124544
0.8, 8, 30.8966124544
0.8, 9, 30.8966124544
0.8, 10, 30.8966124544
0.9, 0, 30.494685148
0.9, 1, 30.494685148
0.9, 2, 30.494685148000002
0.9, 3, 30.494685148000002
0.9, 4, 30.494685148000002
0.9, 5, 30.494685148000002
0.9, 6, 30.494685148000002
0.9, 7, 30.494685148000002
0.9, 8, 30.494685147999995
0.9, 9, 30.494685148000002
0.9, 10, 30.494685147999995
1, 0, 29.999999999999993
1, 1, 29.999999999999993
1, 2, 29.999999999999993
1, 3, 29.999999999999993
1, 4, 29.999999999999993
1, 5, 30.0
1, 6, 29.999999999999993
1, 7, 29.999999999999993
1, 8, 29.999999999999993
1, 9, 29.999999999999993
1, 10, 29.999999999999993

"R{""steps""}min=? [ F is_done=1 ]"
p_bar, v_init, Result
0, 0, 23.999999999999993
0, 1, 23.999999999999993
0, 2, 23.999999999999993
0, 3, 23.999999999999993
0, 4, 23.999999999999993
0, 5, 23.999999999999996
0, 6, 23.99999999999999
0, 7, 23.999999999999993
0, 8, 23.99999999999999
0, 9, 23.99999999999999
0, 10, 23.99999999999999
0.1, 0, 24.000000000000004
0.1, 1, 24.000000000000004
0.1, 2, 24.000000000000004
0.1, 3, 24.000000000000004
0.1, 4, 24.0
0.1, 5, 24.0
0.1, 6, 23.999999999999996
0.1, 7, 24.0
0.1, 8, 23.999999999999996
0.1, 9, 23.999999999999996
0.1, 10, 23.999999999999996
0.2, 0, 24.0
0.2, 1, 24.0
0.2, 2, 24.0
0.2, 3, 24.0
0.2, 4, 24.0
0.2, 5, 24.000000000000004
0.2, 6, 23.999999999999996
0.2, 7, 24.0
0.2, 8, 23.999999999999993
0.2, 9, 23.999999999999996
0.2, 10, 23.999999999999996
0.3, 0, 23.99999999999999
0.3, 1, 23.99999999999999
0.3, 2, 23.99999999999999
0.3, 3, 23.99999999999999
0.3, 4, 23.99999999999999
0.3, 5, 23.999999999999993
0.3, 6, 23.99999999999999
0.3, 7, 23.999999999999986
0.3, 8, 23.999999999999986
0.3, 9, 23.99999999999999
0.3, 10, 23.99999999999999
0.4, 0, 23.999999999999993
0.4, 1, 23.999999999999993
0.4, 2, 23.999999999999993
0.4, 3, 23.999999999999993
0.4, 4, 23.999999999999993
0.4, 5, 23.999999999999996
0.4, 6, 23.99999999999999
0.4, 7, 23.999999999999993
0.4, 8, 23.99999999999999
0.4, 9, 23.99999999999999
0.4, 10, 23.99999999999999
0.5, 0, 23.999999999999993
0.5, 1, 23.999999999999993
0.5, 2, 23.999999999999993
0.5, 3, 23.999999999999993
0.5, 4, 23.999999999999993
0.5, 5, 23.999999999999996
0.5, 6, 23.99999999999999
0.5, 7, 23.999999999999996
0.5, 8, 23.99999999999999
0.5, 9, 23.99999999999999
0.5, 10, 23.999999999999993
0.6, 0, 23.999999999999993
0.6, 1, 23.999999999999993
0.6, 2, 23.999999999999993
0.6, 3, 23.999999999999993
0.6, 4, 23.999999999999993
0.6, 5, 23.999999999999996
0.6, 6, 23.99999999999999
0.6, 7, 23.999999999999993
0.6, 8, 23.99999999999999
0.6, 9, 23.99999999999999
0.6, 10, 23.99999999999999
0.7, 0, 23.99999999999999
0.7, 1, 23.99999999999999
0.7, 2, 23.99999999999999
0.7, 3, 23.99999999999999
0.7, 4, 23.99999999999999
0.7, 5, 23.999999999999993
0.7, 6, 23.99999999999999
0.7, 7, 23.999999999999986
0.7, 8, 23.999999999999986
0.7, 9, 23.999999999999986
0.7, 10, 23.999999999999986
0.8, 0, 24.0
0.8, 1, 24.0
0.8, 2, 23.999999999999993
0.8, 3, 24.0
0.8, 4, 23.999999999999993
0.8, 5, 24.0
0.8, 6, 23.999999999999993
0.8, 7, 23.999999999999996
0.8, 8, 23.99999999999999
0.8, 9, 23.999999999999996
0.8, 10, 23.999999999999993
0.9, 0, 23.999999999999996
0.9, 1, 23.999999999999996
0.9, 2, 23.999999999999996
0.9, 3, 23.999999999999996
0.9, 4, 24.0
0.9, 5, 24.0
0.9, 6, 23.999999999999993
0.9, 7, 23.999999999999993
0.9, 8, 23.999999999999993
0.9, 9, 23.999999999999993
0.9, 10, 23.999999999999993
1, 0, 23.999999999999993
1, 1, 23.999999999999993
1, 2, 23.999999999999993
1, 3, 23.999999999999993
1, 4, 23.999999999999993
1, 5, 23.999999999999996
1, 6, 23.99999999999999
1, 7, 23.999999999999993
1, 8, 23.99999999999999
1, 9, 23.99999999999999
1, 10, 23.99999999999999
