p_bar, v_init, Result
0.0, 0, 24.593791235612926
0.0, 1, 27.91277899346321
0.0, 2, 33.73374427025303
0.0, 3, 40.35748370350799
0.0, 4, 46.283726887461036
0.0, 5, 49.84946159915561
0.0, 6, 53.23455337229485
0.0, 7, 58.56539778446213
0.0, 8, 63.917157726872674
0.0, 9, 68.62696486963307
0.0, 10, 71.00538888737867
0.1, 0, 22.39709419115611
0.1, 1, 25.455590531634254
0.1, 2, 30.831957993475083
0.1, 3, 36.93609729877323
0.1, 4, 42.406216506317435
0.1, 5, 45.730917949281654
0.1, 6, 48.89137815889092
0.1, 7, 53.820162046069605
0.1, 8, 58.768927515845505
0.1, 9, 63.135016725559296
0.1, 10, 65.33944456089966
0.2, 0, 20.557540410560627
0.2, 1, 23.392212584505298
0.2, 2, 28.388493682327372
0.2, 3, 34.04657672690813
0.2, 4, 39.12392158593119
0.2, 5, 42.23568823477232
0.2, 6, 45.19679481634425
0.2, 7, 49.777551646696026
0.2, 8, 54.37899582944762
0.2, 9, 58.44839869220929
0.2, 10, 60.502710531064615
0.30000000000000004, 0, 18.995345403839067
0.30000000000000004, 1, 21.63542459880318
0.30000000000000004, 2, 26.303499120780877
0.30000000000000004, 3, 31.574457544130983
0.30000000000000004, 4, 36.31052530553999
0.30000000000000004, 5, 39.233381780230694
0.30000000000000004, 6, 42.01697538900763
0.30000000000000004, 7, 46.29382447192163
0.30000000000000004, 8, 50.59302003449326
0.30000000000000004, 9, 54.40368053322198
0.30000000000000004, 10, 56.32714289633763
0.4, 0, 17.65239644786334
0.4, 1, 20.12146739975646
0.4, 2, 24.503739054678018
0.4, 3, 29.435336743472302
0.4, 4, 33.87253823228061
0.4, 5, 36.626995386184234
0.4, 6, 39.25194874977652
0.4, 7, 43.26129940568606
0.4, 8, 47.29521867717467
0.4, 9, 50.878169228776706
0.4, 10, 52.686550978155836
0.5, 0, 16.48368776994426
0.5, 1, 18.800903807085206
0.5, 2, 22.932532523781184
0.5, 3, 27.563759166126395
0.5, 4, 31.737510430987996
0.5, 5, 34.341166577996766
0.5, 6, 36.82401024443278
0.5, 7, 40.596176421404536
0.5, 8, 44.39549237476924
0.5, 9, 47.776345855662704
0.5, 10, 49.48269002661034
0.6000000000000001, 0, 15.446541668768068
0.6000000000000001, 1, 17.627306018658036
0.6000000000000001, 2, 21.537635831487066
0.6000000000000001, 3, 25.900172297922403
0.6000000000000001, 4, 29.84054947462865
0.6000000000000001, 5, 32.30898587764507
0.6000000000000001, 6, 34.665038565543945
0.6000000000000001, 7, 38.22539911022596
0.6000000000000001, 8, 41.81572818766266
0.6000000000000001, 9, 45.015493490101925
0.6000000000000001, 10, 46.630565814425175
0.7000000000000001, 0, 14.47903756334197
0.7000000000000001, 1, 16.534938928952602
0.7000000000000001, 2, 20.24786731558076
0.7000000000000001, 3, 24.36638138863747
0.7000000000000001, 4, 28.099550859350728
0.7000000000000001, 5, 30.448287935959684
0.7000000000000001, 6, 32.69427159878597
0.7000000000000001, 7, 36.06405030815577
0.7000000000000001, 8, 39.466577876587415
0.7000000000000001, 9, 42.501440392034255
0.7000000000000001, 10, 44.0337055126944
0.8, 0, 13.453005529131891
0.8, 1, 15.390398618823745
0.8, 2, 18.92285075449996
0.8, 3, 22.81332897832788
0.8, 4, 26.362977463541714
0.8, 5, 28.612177406872437
0.8, 6, 30.77240876353251
0.8, 7, 33.969100435961174
0.8, 8, 37.200229574357714
0.8, 9, 40.07934672161261
0.8, 10, 41.53404859732534
0.9, 0, 12.078297197184654
0.9, 1, 13.894306253820307
0.9, 2, 17.251078230514327
0.9, 3, 20.915560171341966
0.9, 4, 24.304596158388843
0.9, 5, 26.489688177728215
0.9, 6, 28.609717957964808
0.9, 7, 31.64714650642659
0.9, 8, 34.716348808894665
0.9, 9, 37.43579033314362
0.9, 10, 38.81228255952066
1.0, 0, 9.723825027733742
1.0, 1, 11.397649633369888
1.0, 2, 14.559560649938495
1.0, 3, 17.97441744385508
1.0, 4, 21.227292556990065
1.0, 5, 23.42092406500234
1.0, 6, 25.595130685806033
1.0, 7, 28.48308755180192
1.0, 8, 31.387448575867968
1.0, 9, 33.91705786240535
1.0, 10, 35.2028909621006
