p_bar, v_init, Result
0, 0, 34.753867795563984
0, 1, 38.18449893495964
0, 2, 44.162472293724576
0, 3, 50.83727527409748
0, 4, 56.52131241595636
0, 5, 59.26974724221406
0, 6, 61.802678858947985
0, 7, 66.78659291768744
0, 8, 72.1184551967087
0, 9, 76.92777867230433
0, 10, 79.39339085343809
0.1, 0, 31.633544130969767
0.1, 1, 34.7935527916081
0.1, 2, 40.31269361901434
0.1, 3, 46.46329116501014
0.1, 4, 51.71326003125229
0.1, 5, 54.29499895077582
0.1, 6, 56.68080544841369
0.1, 7, 61.294234962399564
0.1, 8, 66.22494937213493
0.1, 9, 70.68154647772543
0.1, 10, 72.96525553365049
0.2, 0, 29.024295648629813
0.2, 1, 31.952032002939585
0.2, 2, 37.079217114041434
0.2, 3, 42.779910197489365
0.2, 4, 47.655474842116035
0.2, 5, 50.08621732686095
0.2, 6, 52.33724938100005
0.2, 7, 56.62895500565401
0.2, 8, 61.21387797869252
0.2, 9, 65.36627345693532
0.2, 10, 67.49327329861188
0.3, 0, 26.81083618840186
0.3, 1, 29.536827518682557
0.3, 2, 34.325760276198196
0.3, 3, 39.63606613110169
0.3, 4, 44.18589261960716
0.3, 5, 46.48012729742668
0.3, 6, 48.60828355031422
0.3, 7, 52.61833174331617
0.3, 8, 56.90229579102393
0.3, 9, 60.78958517405709
0.3, 10, 62.78015449034411
0.4, 0, 24.909938040251447
0.4, 1, 27.458794501486082
0.4, 2, 31.953325461465496
0.4, 3, 36.92147800116034
0.4, 4, 41.18575668069659
0.4, 5, 43.35648492683971
0.4, 6, 45.372811299262715
0.4, 7, 49.13442725264627
0.4, 8, 53.154226077004346
0.4, 9, 56.80835715351928
0.4, 10, 58.679066857699965
0.5, 0, 23.259746873648552
0.5, 1, 25.65149317670656
0.5, 2, 29.888028010558884
0.5, 3, 34.55346379994429
0.5, 4, 38.5658529569463
0.5, 5, 40.62454205324572
0.5, 6, 42.53919454391932
0.5, 7, 46.08014040476549
0.5, 8, 49.866373064158665
0.5, 9, 53.31375950895499
0.5, 10, 55.07834131244661
0.6, 0, 21.81099875508977
0.6, 1, 24.061991851071554
0.6, 2, 28.071304514586743
0.6, 3, 32.46642343610827
0.6, 4, 36.255695952299355
0.6, 5, 38.21243155797681
0.6, 6, 40.03510202912745
0.6, 7, 43.378695360732245
0.6, 8, 46.95728345010121
0.6, 9, 50.21990321960216
0.6, 10, 51.88991480837966
0.7, 0, 20.512416769675298
0.7, 1, 22.63590419175041
0.7, 2, 26.44457471824048
0.7, 3, 30.595975749465516
0.7, 4, 34.187886969825115
0.7, 5, 36.0522192231078
0.7, 6, 37.79389431236995
0.7, 7, 40.95988929476532
0.7, 8, 44.353751333262096
0.7, 9, 47.44969521007485
0.7, 10, 49.03511781190406
0.8, 0, 19.27088499597971
0.8, 1, 21.277100617254927
0.8, 2, 24.90870864373815
0.8, 3, 28.838096483793283
0.8, 4, 32.25874343797237
0.8, 5, 34.04317650635947
0.8, 6, 35.72210468949362
0.8, 7, 38.728148394324364
0.8, 8, 41.96006559489973
0.8, 9, 44.9031848126851
0.8, 10, 46.41314035168075
0.9, 0, 17.840671137715034
0.9, 1, 19.736056350349873
0.9, 2, 23.212112933741174
0.9, 3, 26.937198241863925
0.9, 4, 30.22095283310623
0.9, 5, 31.952590131783033
0.9, 6, 33.61200976205284
0.9, 7, 36.477748759717095
0.9, 8, 39.57671117899266
0.9, 9, 42.37441321937648
0.9, 10, 43.81829203983459
1, 0, 15.545873100122476
1, 1, 17.330396167820084
1, 2, 20.670671900281214
1, 3, 24.206724894949414
1, 4, 27.415576123332144
1, 5, 29.169026698276554
1, 6, 30.92387785353794
1, 7, 33.68284746612905
1, 8, 36.69863393356811
1, 9, 39.34576070965894
1, 10, 40.73519845308589
