p_bar, v_init, Result
0, 0, 55.8978749121531
0, 1, 62.499991878524426
0, 2, 74.06675726320543
0, 3, 87.12562749405534
0, 4, 98.63808978712953
0, 5, 105.10478057761784
0, 6, 111.22019478426138
0, 7, 121.42382484467025
0, 8, 131.95323863231133
0, 9, 141.25735782789394
0, 10, 146.0059877964843
0.1, 0, 50.89445423840449
0.1, 1, 56.97884823817104
0.1, 2, 67.66325119015511
0.1, 3, 79.70006740472226
0.1, 4, 90.3311930245091
0.1, 5, 96.37625169866342
0.1, 6, 102.10192726361687
0.1, 7, 111.5430779798597
0.1, 8, 121.28233064926434
0.1, 9, 129.90951353241144
0.1, 10, 134.31089823319624
0.2, 0, 46.70699189213963
0.2, 1, 52.34645413387142
0.2, 2, 62.27637871671885
0.2, 3, 73.43537096748052
0.2, 4, 83.30670728965137
0.2, 5, 88.97625834655697
0.2, 6, 94.35283034197187
0.2, 7, 103.13262836462735
0.2, 8, 112.19042833230667
0.2, 9, 120.2329881755861
0.2, 10, 124.33476347814492
0.3, 0, 43.152493342636454
0.3, 1, 48.4050692424546
0.3, 2, 57.68340047647101
0.3, 3, 68.08023511185975
0.3, 4, 77.29081364617346
0.3, 5, 82.6251557984496
0.3, 6, 87.68867145505556
0.3, 7, 95.89001660862236
0.3, 8, 104.354480907764
0.3, 9, 111.88696094767505
0.3, 10, 115.72756486991915
0.4, 0, 40.09852134065525
0.4, 1, 45.011067155441
0.4, 2, 53.72194758378478
0.4, 3, 63.45044555522138
0.4, 4, 72.08197442724303
0.4, 5, 77.1160023282948
0.4, 6, 81.89816909986641
0.4, 7, 89.58968334515245
0.4, 8, 97.53317709087213
0.4, 9, 104.61660555746796
0.4, 10, 108.22751266265335
0.5, 0, 37.44672473587234
0.5, 1, 42.05740407474892
0.5, 2, 50.27078953118381
0.5, 3, 59.4077103523115
0.5, 4, 67.52853824933091
0.5, 5, 72.29227314183841
0.5, 6, 76.82103558119525
0.5, 7, 84.05997640859637
0.5, 8, 91.54269427067827
0.5, 9, 98.2276149574818
0.5, 10, 101.63494899691621
0.6, 0, 35.120659353135494
0.6, 1, 39.460682415486076
0.6, 2, 47.23578590526106
0.6, 3, 55.84421492999639
0.6, 4, 63.51255311199367
0.6, 5, 68.03168085840079
0.6, 6, 72.33222010225911
0.6, 7, 79.16656434125728
0.6, 8, 86.23938973044226
0.6, 9, 92.56797051419942
0.6, 10, 95.79373240913948
0.7, 0, 33.05034165704146
0.7, 1, 37.14509610101493
0.7, 2, 44.53314727646263
0.7, 3, 52.664831329212646
0.7, 4, 59.93189317935996
0.7, 5, 64.22864075513198
0.7, 6, 68.32563837655593
0.7, 7, 74.79552093248145
0.7, 8, 81.50284209307367
0.7, 9, 87.51009268512304
0.7, 10, 90.57323181840566
0.8, 0, 31.13619653577939
0.8, 1, 35.00574075387104
0.8, 2, 42.05239161552332
0.8, 3, 49.749280739745274
0.8, 4, 56.66367227857231
0.8, 5, 60.759553124536595
0.8, 6, 64.6834228480928
0.8, 7, 70.822393018676
0.8, 8, 77.20612611302577
0.8, 9, 82.91986150596637
0.8, 10, 85.83749750509675
0.9, 0, 29.15190827545665
0.9, 1, 32.81050438403432
0.9, 2, 39.55812134810761
0.9, 3, 46.85343058570115
0.9, 4, 53.46981016518856
0.9, 5, 57.394792440142496
0.9, 6, 61.19889533387728
0.9, 7, 67.03645428944527
0.9, 8, 73.14385278449946
0.9, 9, 78.58236084638321
0.9, 10, 81.37164735541313
1, 0, 26.500670012429094
1, 1, 29.954485618998724
1, 2, 36.44439565762622
1, 3, 43.36378342587801
1, 4, 49.76233871112955
1, 5, 53.581592555405784
1, 6, 57.38638171712901
1, 7, 62.9557231303346
1, 8, 68.85615923823843
1, 9, 74.02134231752949
1, 10, 76.70277056115934
