p_bar, v_init, Result
0, 0, 30.162791607748126
0, 1, 33.4781922183182
0, 2, 39.265524150788366
0, 3, 45.78760891007666
0, 4, 51.45249888042162
0, 5, 54.51328640106674
0, 6, 57.341304869001114
0, 7, 62.37662111576394
0, 8, 67.5773465678109
0, 9, 72.25759957051594
0, 10, 74.62576450842562
0.1, 0, 27.45978976797199
0.1, 1, 30.514997560763092
0.1, 2, 35.8607364036059
0.1, 3, 41.87240713673759
0.1, 4, 47.104877163386064
0.1, 5, 49.9704812739272
0.1, 6, 52.62445683817065
0.1, 7, 57.284523595760994
0.1, 8, 62.09593109111325
0.1, 9, 66.43510041661109
0.1, 10, 68.63017557395612
0.2, 0, 25.19827751476292
0.2, 1, 28.029895104685632
0.2, 2, 32.998026546534135
0.2, 3, 38.571264831526996
0.2, 4, 43.43068215369803
0.2, 5, 46.12153213208275
0.2, 6, 48.61828424486458
0.2, 7, 52.95263640090815
0.2, 8, 57.4280931045824
0.2, 9, 61.47274934850084
0.2, 10, 63.518452881167605
0.3, 0, 23.27893165954463
0.3, 1, 25.91612558288012
0.3, 2, 30.55809816859074
0.3, 3, 35.75060177674041
0.3, 4, 40.28536923978761
0.3, 5, 42.819568993018734
0.3, 6, 45.17441148486532
0.3, 7, 49.22368119843073
0.3, 8, 53.40646135783417
0.3, 9, 57.194174829400616
0.3, 10, 59.10963908405771
0.4, 0, 21.629570138540082
0.4, 1, 24.095839949898522
0.4, 2, 28.453657618135995
0.4, 3, 33.31214914983016
0.4, 4, 37.562179523885085
0.4, 5, 39.955547416624256
0.4, 6, 42.1821859256931
0.4, 7, 45.97998701700528
0.4, 8, 49.90559731148198
0.4, 9, 53.46706629761846
0.4, 10, 55.2679344044392
0.5, 0, 20.194716155011477
0.5, 1, 22.50907996105188
0.5, 2, 26.617464210245682
0.5, 3, 31.1799616498051
0.5, 4, 35.17854459427354
0.5, 5, 37.44484719681752
0.5, 6, 39.55560498588881
0.5, 7, 43.129912503754916
0.5, 8, 46.827760254392466
0.5, 9, 50.18825902991156
0.5, 10, 51.887439574208955
0.6, 0, 18.922938477576103
0.6, 1, 21.100594912760364
0.6, 2, 24.988370415484713
0.6, 3, 29.285580470699443
0.6, 4, 33.06091718958495
0.6, 5, 35.212558009983866
0.6, 6, 37.219304504786685
0.6, 7, 40.593498890921
0.6, 8, 44.08810546516505
0.6, 9, 47.26829262701884
0.6, 10, 48.87642241277282
0.7, 0, 17.738028843148623
0.7, 1, 19.790334405315537
0.7, 2, 23.480908135626663
0.7, 3, 27.536691818386956
0.7, 4, 31.11366420729197
0.7, 5, 33.16409142988558
0.7, 6, 35.08147349786193
0.7, 7, 38.27546938734723
0.7, 8, 41.58748587542414
0.7, 9, 44.603302316015416
0.7, 10, 46.128857860900126
0.8, 0, 16.461084683299866
0.8, 1, 18.394291890060572
0.8, 2, 21.904632957194583
0.8, 3, 25.735253254261558
0.8, 4, 29.138894947390284
0.8, 5, 31.110505129254783
0.8, 6, 32.96609399077065
0.8, 7, 35.998803448812346
0.8, 8, 39.14640968428848
0.8, 9, 42.00723153448458
0.8, 10, 43.456052099457146
0.9, 0, 14.612447034219148
0.9, 1, 16.423917292781276
0.9, 2, 19.760626546599745
0.9, 3, 23.37220967968851
0.9, 4, 26.63647041479824
0.9, 5, 28.583344681374953
0.9, 6, 30.445895303079713
0.9, 7, 33.34230618121008
0.9, 8, 36.3444342790979
0.9, 9, 39.04760799921786
0.9, 10, 40.421278234157064
1, 0, 10.954796912306616
1, 1, 12.62408945117864
1, 2, 15.773723757345007
1, 3, 19.157058530928595
1, 4, 22.346762587797407
1, 5, 24.412565857129234
1, 6, 26.462503863591074
1, 7, 29.272875664205547
1, 8, 32.15752530467034
1, 9, 34.67558160787054
1, 10, 35.96757210807344
