p_bar, v_init, Result
0, 0, 29.397204899724002
0, 1, 32.545506259525695
0, 2, 37.62236160557922
0, 3, 43.76184406817734
0, 4, 48.87575107599997
0, 5, 51.523188022212054
0, 6, 53.833813067132375
0, 7, 58.46810171433564
0, 8, 63.097079394072885
0, 9, 67.23601551036448
0, 10, 69.30321723532496
0.1, 0, 26.7099113445458
0.1, 1, 29.56284024857094
0.1, 2, 34.1641008373346
0.1, 3, 39.72710608023874
0.1, 4, 44.357773796862865
0.1, 5, 46.747441751694154
0.1, 6, 48.830924671966756
0.1, 7, 53.02559480997354
0.1, 8, 57.21757461102454
0.1, 9, 60.966211999192026
0.1, 10, 62.83847115565244
0.2, 0, 24.44010635759799
0.2, 1, 27.029268841419672
0.2, 2, 31.20701877073132
0.2, 3, 36.254175816302165
0.2, 4, 40.446751773929776
0.2, 5, 42.58889832562209
0.2, 6, 44.45048267045521
0.2, 7, 48.24366504928742
0.2, 8, 52.04044312883117
0.2, 9, 55.437059551406925
0.2, 10, 57.13349032052063
0.3, 0, 22.48096038893312
0.3, 1, 24.82818456573328
0.3, 2, 28.618266733534313
0.3, 3, 33.19075988856234
0.3, 4, 36.97473496359906
0.3, 5, 38.873284643696095
0.3, 6, 40.513306433854325
0.3, 7, 43.92975636133541
0.3, 8, 47.35941172502715
0.3, 9, 50.430327365878675
0.3, 10, 51.96409325534811
0.4, 0, 20.743566839777337
0.4, 1, 22.86145533153881
0.4, 2, 26.284319296067853
0.4, 3, 30.40468900176743
0.4, 4, 33.79403208937833
0.4, 5, 35.44553333560264
0.4, 6, 36.858200508598976
0.4, 7, 39.90937727478458
0.4, 8, 42.986728162983795
0.4, 9, 45.74700615080017
0.4, 10, 47.12567179674626
0.5, 0, 19.13693422351934
0.5, 1, 21.027984895209784
0.5, 2, 24.087182748271296
0.5, 3, 27.7574972219206
0.5, 4, 30.749003880463256
0.5, 5, 32.141577259875945
0.5, 6, 33.31395680342755
0.5, 7, 35.9966268593777
0.5, 8, 38.72192626768934
0.5, 9, 41.174424395464676
0.5, 10, 42.39947054340018
0.6, 0, 17.53450936708558
0.6, 1, 19.188281155171236
0.6, 2, 21.86579041832801
0.6, 3, 25.06237086773066
0.6, 4, 27.631934346997404
0.6, 5, 28.744901778748993
0.6, 6, 29.656911979092726
0.6, 7, 31.95003693021068
0.6, 8, 34.30538652934158
0.6, 9, 36.43750512731398
0.6, 10, 37.50267191917557
0.7, 0, 15.702572191666459
0.7, 1, 17.08978477146777
0.7, 2, 19.336463041743855
0.7, 3, 21.999585990295635
0.7, 4, 24.096217195871866
0.7, 5, 24.9027235713878
0.7, 6, 25.530801920108523
0.7, 7, 27.390639752087907
0.7, 8, 29.33324537180602
0.7, 9, 31.109943091257904
0.7, 10, 31.99768801323456
0.8, 0, 13.13936317840221
0.8, 1, 14.200877071439994
0.8, 2, 15.919012322982482
0.8, 3, 17.93499117775464
0.8, 4, 19.473147314007022
0.8, 5, 19.951750029351903
0.8, 6, 20.283055686092265
0.8, 7, 21.63722106355593
0.8, 8, 23.088343837711868
0.8, 9, 24.43873635116201
0.8, 10, 25.11349685155158
0.9, 0, 8.724993245802644
0.9, 1, 9.35209471992415
0.9, 2, 10.364938638112674
0.9, 3, 11.536627221256598
0.9, 4, 12.389403049407397
0.9, 5, 12.558080687798178
0.9, 6, 12.630621151460465
0.9, 7, 13.37400369411306
0.9, 8, 14.202493386195808
0.9, 9, 14.995315607470356
0.9, 10, 15.391329834258812
1, 0, 0.0
1, 1, 0.0
1, 2, 0.0
1, 3, 0.0
1, 4, 0.0
1, 5, 0.0
1, 6, 0.0
1, 7, 0.0
1, 8, 0.0
1, 9, 0.0
1, 10, 0.0
