"Rmax=? [ F is_done=1 ]"
p_bar, v_init, Result
0, 0, 27.94893745607655
0, 1, 31.249995939262213
0, 2, 37.033378631602716
0, 3, 43.56281374702767
0, 4, 49.319044893564765
0, 5, 52.55239028880892
0, 6, 55.61009739213069
0, 7, 60.711912422335125
0, 8, 65.97661931615566
0, 9, 70.62867891394697
0, 10, 73.00299389824215
0.1, 0, 25.447227119202246
0.1, 1, 28.48942411908552
0.1, 2, 33.831625595077554
0.1, 3, 39.85003370236113
0.1, 4, 45.16559651225455
0.1, 5, 48.18812584933171
0.1, 6, 51.050963631808436
0.1, 7, 55.77153898992985
0.1, 8, 60.64116532463217
0.1, 9, 64.95475676620572
0.1, 10, 67.15544911659812
0.2, 0, 23.353495946069813
0.2, 1, 26.17322706693571
0.2, 2, 31.138189358359426
0.2, 3, 36.71768548374026
0.2, 4, 41.653353644825685
0.2, 5, 44.48812917327849
0.2, 6, 47.17641517098593
0.2, 7, 51.566314182313675
0.2, 8, 56.09521416615333
0.2, 9, 60.11649408779305
0.2, 10, 62.16738173907246
0.3, 0, 21.576246671318227
0.3, 1, 24.2025346212273
0.3, 2, 28.841700238235504
0.3, 3, 34.040117555929875
0.3, 4, 38.64540682308673
0.3, 5, 41.3125778992248
0.3, 6, 43.84433572752778
0.3, 7, 47.94500830431118
0.3, 8, 52.177240453882
0.3, 9, 55.943480473837525
0.3, 10, 57.863782434959575
0.4, 0, 20.049260670327627
0.4, 1, 22.5055335777205
0.4, 2, 26.86097379189239
0.4, 3, 31.72522277761069
0.4, 4, 36.04098721362151
0.4, 5, 38.5580011641474
0.4, 6, 40.949084549933204
0.4, 7, 44.794841672576226
0.4, 8, 48.766588545436065
0.4, 9, 52.30830277873398
0.4, 10, 54.11375633132668
0.5, 0, 18.72336236793617
0.5, 1, 21.02870203737446
0.5, 2, 25.135394765591904
0.5, 3, 29.70385517615575
0.5, 4, 33.764269124665454
0.5, 5, 36.146136570919204
0.5, 6, 38.41051779059762
0.5, 7, 42.029988204298185
0.5, 8, 45.771347135339134
0.5, 9, 49.1138074787409
0.5, 10, 50.817474498458104
0.6, 0, 17.560329676567747
0.6, 1, 19.730341207743038
0.6, 2, 23.61789295263053
0.6, 3, 27.922107464998195
0.6, 4, 31.756276555996834
0.6, 5, 34.015840429200395
0.6, 6, 36.16611005112956
0.6, 7, 39.58328217062864
0.6, 8, 43.11969486522113
0.6, 9, 46.28398525709971
0.6, 10, 47.89686620456974
0.7, 0, 16.525170828520718
0.7, 1, 18.572548050507454
0.7, 2, 22.266573638231307
0.7, 3, 26.332415664606316
0.7, 4, 29.96594658967997
0.7, 5, 32.114320377565974
0.7, 6, 34.16281918827795
0.7, 7, 37.39776046624072
0.7, 8, 40.75142104653683
0.7, 9, 43.7550463425615
0.7, 10, 45.28661590920281
0.8, 0, 15.568098267889695
0.8, 1, 17.50287037693552
0.8, 2, 21.02619580776166
0.8, 3, 24.874640369872637
0.8, 4, 28.331836139286153
0.8, 5, 30.379776562268297
0.8, 6, 32.3417114240464
0.8, 7, 35.411196509338
0.8, 8, 38.60306305651289
0.8, 9, 41.45993075298318
0.8, 10, 42.918748752548375
0.9, 0, 14.575954137728324
0.9, 1, 16.40525219201716
0.9, 2, 19.779060674053806
0.9, 3, 23.426715292850574
0.9, 4, 26.73490508259428
0.9, 5, 28.697396220071248
0.9, 6, 30.59944766693864
0.9, 7, 33.51822714472264
0.9, 8, 36.57192639224973
0.9, 9, 39.291180423191605
0.9, 10, 40.685823677706566
1, 0, 13.250335006214547
1, 1, 14.977242809499362
1, 2, 18.22219782881311
1, 3, 21.681891712939006
1, 4, 24.881169355564776
1, 5, 26.790796277702892
1, 6, 28.693190858564506
1, 7, 31.4778615651673
1, 8, 34.42807961911922
1, 9, 37.010671158764744
1, 10, 38.35138528057967

"Rmin=? [ F is_done=1 ]"
