p_bar, v_init, Result
0, 0, 295.3797815648372
0, 1, 406.63648743530194
0, 2, 608.5423135399157
0, 3, 837.4005947568157
0, 4, 1064.5437974535482
0, 5, 1263.7075657473451
0, 6, 1459.9628813463607
0, 7, 1676.722282763307
0, 8, 1880.8408020230643
0, 9, 2063.927630355798
0, 10, 2155.542154754032
0.1, 0, 272.07619833098227
0.1, 1, 376.9011693230355
0.1, 2, 567.9387535410452
0.1, 3, 783.3602524199792
0.1, 4, 997.2251577305263
0.1, 5, 1185.684884655176
0.1, 6, 1371.4997351154761
0.1, 7, 1575.9222758861024
0.1, 8, 1768.910587573302
0.1, 9, 1942.8346674160612
0.1, 10, 2029.861386953913
0.2, 0, 252.07003287134955
0.2, 1, 351.1200363885165
0.2, 2, 532.4937263571029
0.2, 3, 735.9054455228124
0.2, 4, 937.9071057986014
0.2, 5, 1116.6916112079728
0.2, 6, 1293.046985402009
0.2, 7, 1486.3781540552486
0.2, 8, 1669.3739369244884
0.2, 9, 1835.0282418691795
0.2, 10, 1917.914970972097
0.3, 0, 234.7262998770162
0.3, 1, 328.55414652058306
0.3, 2, 501.28946286376583
0.3, 3, 693.8979351312853
0.3, 4, 885.2480382963768
0.3, 5, 1055.2566047546898
0.3, 6, 1223.0130145139874
0.3, 7, 1406.324990796997
0.3, 8, 1580.303379112645
0.3, 9, 1738.4531822121835
0.3, 10, 1817.583985905591
0.4, 0, 219.56094758318983
0.4, 1, 308.6349255351077
0.4, 2, 473.61397980477113
0.4, 3, 656.4454529721638
0.4, 4, 838.1891335428868
0.4, 5, 1000.209326295968
0.4, 6, 1160.1237634075326
0.4, 7, 1334.344919903635
0.4, 8, 1500.1477903162122
0.4, 9, 1651.4539653475051
0.4, 10, 1727.160953467041
0.5, 0, 206.19909406504658
0.5, 1, 290.9177988754458
0.5, 2, 448.90712227659844
0.5, 3, 622.8386868511443
0.5, 4, 795.8843016982471
0.5, 5, 950.6070971391132
0.5, 6, 1103.3480045107449
0.5, 7, 1269.286453099644
0.5, 8, 1427.6456230757233
0.5, 9, 1572.682815219211
0.5, 10, 1645.2553520582599
0.6, 0, 194.34556740634326
0.6, 1, 275.04921549771876
0.6, 2, 426.72201919766724
0.6, 3, 592.5056916822014
0.6, 4, 757.649300720322
0.6, 5, 905.6816279864726
0.6, 6, 1051.8422871467349
0.6, 7, 1210.2045677493475
0.6, 8, 1361.7605278830738
0.6, 9, 1501.0313804743782
0.6, 10, 1570.7234001867703
0.7, 0, 183.761303173753
0.7, 1, 260.7402795574179
0.7, 2, 406.6946989093444
0.7, 3, 564.97588659954
0.7, 4, 722.9219857533026
0.7, 5, 864.7969155983426
0.7, 6, 1004.9080939390847
0.7, 7, 1156.313728178159
0.7, 8, 1301.6313583295096
0.7, 9, 1435.5775143100873
0.7, 10, 1502.613506150543
0.8, 0, 174.23637561839578
0.8, 1, 247.73748367982301
0.8, 2, 388.51205127970235
0.8, 3, 539.8434321531155
0.8, 4, 691.2235984422418
0.8, 5, 827.4087699729852
0.8, 6, 961.9523734371337
0.8, 7, 1106.9447363265158
0.8, 8, 1246.5276185663035
0.8, 9, 1375.5377290571391
0.8, 10, 1440.1179413400687
0.9, 0, 165.54160365564687
0.9, 1, 235.77220127383663
0.9, 2, 371.859603783348
0.9, 3, 516.7110244447892
0.9, 4, 662.1027764660008
0.9, 5, 793.0087051897266
0.9, 6, 922.4362793385209
0.9, 7, 1061.490223638362
0.9, 8, 1195.795812986643
0.9, 9, 1320.2101689193157
0.9, 10, 1382.5156869915013
1, 0, 157.32217446561944
1, 1, 224.45202555300392
1, 2, 356.31208305137255
1, 3, 495.0771358455748
1, 4, 635.0268416812553
1, 5, 761.0192088890198
1, 6, 885.7829542425699
1, 7, 1019.3101341603742
1, 8, 1148.7695062998084
1, 9, 1268.8800277923676
1, 10, 1329.0786306854561
