p_bar, v_init, Result
0, 0, 3.381112018096049
0, 1, 3.407675210302893
0, 2, 3.4353279896195135
0, 3, 3.4315006410956346
0, 4, 3.320290728813559
0, 5, 3.0440683926522856
0, 6, 2.729291143983156
0, 7, 2.611017280691833
0, 8, 2.5636797786071424
0, 9, 2.596221027275686
0, 10, 2.60837488946132
0.1, 0, 3.0737381982660628
0.1, 1, 3.0978865548177152
0.1, 2, 3.123025445105527
0.1, 3, 3.1195460373565496
0.1, 4, 3.0184461171002184
0.1, 5, 2.7673349024084026
0.1, 6, 2.4811737672549343
0.1, 7, 2.373652073353838
0.1, 8, 2.3306179805496177
0.1, 9, 2.3602009338846277
0.1, 10, 2.3712498995079203
0.2, 0, 2.8175933368725135
0.2, 1, 2.8397293302875477
0.2, 2, 2.86277331295701
0.2, 3, 2.859583855866841
0.2, 4, 2.7669089293447087
0.2, 5, 2.5367236501531525
0.2, 6, 2.2744092773366513
0.2, 7, 2.175847724997589
0.2, 8, 2.13639980675526
0.2, 9, 2.1635175138679714
0.2, 10, 2.173645732314515
0.3, 0, 2.6008540163342277
0.3, 1, 2.6212872302496697
0.3, 2, 2.6425585876502846
0.3, 3, 2.63961447496577
0.3, 4, 2.55406843405764
0.3, 5, 2.3415898268534874
0.3, 6, 2.099453610404569
0.3, 7, 2.008473763915536
0.3, 8, 1.9720603201250735
0.3, 9, 1.9970920365672198
0.3, 10, 2.0064411563568916
0.4, 0, 2.4150394946067153
0.4, 1, 2.4340128849998806
0.4, 2, 2.453764538842715
0.4, 3, 2.4510307643344107
0.4, 4, 2.3715964454134424
0.4, 5, 2.174298086899531
0.4, 6, 1.949460967197219
0.4, 7, 1.8649810536363816
0.4, 8, 1.8311691194269584
0.4, 9, 1.8544124785105194
0.4, 10, 1.8630936629945647
0.5, 0, 2.2535243675298378
0.5, 1, 2.2712288388981685
0.5, 2, 2.289659524331365
0.5, 3, 2.28710858158962
0.5, 4, 2.2129867406398964
0.5, 5, 2.028883474594907
0.5, 6, 1.8190832087583049
0.5, 7, 1.740253216867359
0.5, 8, 1.7087025868157955
0.5, 9, 1.7303914561676323
0.5, 10, 1.7384920527903815
0.6, 0, 2.108595045736888
0.6, 1, 2.1251609019364253
0.6, 2, 2.1424062677083393
0.6, 3, 2.140019381946328
0.6, 4, 2.070664486627933
0.6, 5, 1.89840132396599
0.6, 6, 1.7020937945194576
0.6, 7, 1.6283335402476447
0.6, 8, 1.5988120035936935
0.6, 9, 1.6191060120019751
0.6, 10, 1.6266856406726713
0.7, 0, 1.9613606327028401
0.7, 1, 1.9767697641349187
0.7, 2, 1.992810957815032
0.7, 3, 1.9905907383481252
0.7, 4, 1.9260786066148423
0.7, 5, 1.7658438633941753
0.7, 6, 1.5832436714141993
0.7, 7, 1.514633788601766
0.7, 8, 1.4871736179412025
0.7, 9, 1.5060505802352275
0.7, 10, 1.5131009549931813
0.8, 0, 1.7493132052370495
0.8, 1, 1.7630564183136896
0.8, 2, 1.7773633598646257
0.8, 3, 1.7753831736779417
0.8, 4, 1.7178456040656116
0.8, 5, 1.5749342253114582
0.8, 6, 1.4120753803935755
0.8, 7, 1.350883077452243
0.8, 8, 1.3263916920569978
0.8, 9, 1.3432278204390562
0.8, 10, 1.3495159621812318
0.9, 0, 1.276940062123602
0.9, 1, 1.2869721474627647
0.9, 2, 1.297415735711089
0.9, 3, 1.295970266103548
0.9, 4, 1.253969766996097
0.9, 5, 1.1496492460521255
0.9, 6, 1.0307677427717343
0.9, 7, 0.9860994107169249
0.9, 8, 0.9682215194996919
0.9, 9, 0.9805113294420991
0.9, 10, 0.9851014623484633
1, 0, 0.0
1, 1, 0.0
1, 2, 0.0
1, 3, 0.0
1, 4, 0.0
1, 5, 0.0
1, 6, 0.0
1, 7, 0.0
1, 8, 0.0
1, 9, 0.0
1, 10, 0.0
